name,official_name,state,country,population,pop_year,tier,type,geoid,lat,lon,coord_source
New York,New York city,NY,US,8478072,2024,1,incorporated place,3651000,40.662712,-73.938677,census_gazetteer
Los Angeles,Los Angeles city,CA,US,3878704,2024,1,incorporated place,0644000,34.019394,-118.410825,census_gazetteer
Toronto,Toronto,ON,CA,2794356,2021,1,census subdivision,3520005,43.70643,-79.39864,census_gazetteer
Chicago,Chicago city,IL,US,2721308,2024,1,incorporated place,1714000,41.837045,-87.684939,census_gazetteer
Houston,Houston city,TX,US,2390125,2024,1,incorporated place,4835000,29.785743,-95.388806,census_gazetteer
Montréal,Montréal,QC,CA,1762949,2021,1,census subdivision,2466023,45.50884,-73.58781,census_gazetteer
Phoenix,Phoenix city,AZ,US,1673164,2024,1,incorporated place,0455000,33.572154,-112.090132,census_gazetteer
Philadelphia,Philadelphia city,PA,US,1573916,2024,1,incorporated place,4260000,40.009376,-75.133346,census_gazetteer
San Antonio,San Antonio city,TX,US,1526656,2024,1,incorporated place,4865000,29.462809,-98.524635,census_gazetteer
San Diego,San Diego city,CA,US,1404452,2024,1,incorporated place,0666000,32.814977,-117.135562,census_gazetteer
Dallas,Dallas city,TX,US,1326087,2024,1,incorporated place,4819000,32.793333,-96.766513,census_gazetteer
Calgary,Calgary,AB,CA,1306784,2021,1,census subdivision,4806016,51.05011,-114.08529,census_gazetteer
Ottawa,Ottawa,ON,CA,1017449,2021,1,census subdivision,3506008,45.41117,-75.69812,census_gazetteer
Edmonton,Edmonton,AB,CA,1010899,2021,1,census subdivision,4811061,53.55014,-113.46871,census_gazetteer
Jacksonville,Jacksonville city,FL,US,1009833,2024,1,incorporated place,1235000,30.336864,-81.661603,census_gazetteer
Fort Worth,Fort Worth city,TX,US,1008106,2024,1,incorporated place,4827000,32.781954,-97.348573,census_gazetteer
San Jose,San Jose city,CA,US,997368,2024,1,incorporated place,0668000,37.296011,-121.814552,census_gazetteer
Austin,Austin city,TX,US,993588,2024,1,incorporated place,4805000,30.298622,-97.754134,census_gazetteer
Charlotte,Charlotte city,NC,US,943476,2024,1,incorporated place,3712000,35.209045,-80.83099,census_gazetteer
